country,state_province,brewery_type,quantidade
United States,California,micro,465
United States,Washington,micro,268
United States,California,brewpub,253
United States,Colorado,micro,228
United States,New York,micro,226
United States,Michigan,brewpub,199
United States,Texas,micro,196
United States,Florida,micro,190
United States,North Carolina,micro,180
United States,Ohio,micro,163
United States,Pennsylvania,brewpub,158
United States,Virginia,micro,152
United States,Michigan,micro,143
United States,Oregon,micro,142
United States,Colorado,brewpub,141
United States,Pennsylvania,micro,129
United States,Illinois,micro,123
United States,Washington,brewpub,113
United States,New York,brewpub,111
United States,Minnesota,micro,111
United States,Oregon,brewpub,106
United States,Wisconsin,micro,99
United States,Ohio,brewpub,94
United States,Massachusetts,micro,93
United States,Illinois,brewpub,88
United States,New Jersey,micro,79
United States,Texas,brewpub,77
United States,Wisconsin,brewpub,76
United States,Indiana,brewpub,76
United States,Washington,closed,74
United States,North Carolina,brewpub,73
United States,Maine,micro,70
United States,Missouri,micro,66
United States,Florida,brewpub,65
United States,California,planning,64
United States,Montana,micro,61
United States,Indiana,micro,60
United States,Tennessee,micro,59
United States,Arizona,micro,59
United States,Texas,planning,56
United States,Iowa,micro,56
United States,Virginia,brewpub,56
United States,Maryland,micro,52
United States,California,closed,51
United States,Connecticut,micro,48
United States,Georgia,micro,47
United States,Missouri,brewpub,46
United States,Arizona,brewpub,46
United States,New Hampshire,micro,46
United States,New Mexico,brewpub,44
United States,Minnesota,brewpub,44
United States,Kentucky,micro,41
United States,Colorado,planning,39
United States,Florida,planning,38
United States,South Carolina,micro,38
United States,New York,planning,37
United States,Idaho,micro,36
United States,Pennsylvania,planning,36
United States,Nebraska,micro,35
United States,Vermont,micro,34
United States,Massachusetts,brewpub,34
United States,Virginia,planning,34
United States,Alabama,micro,32
United States,Iowa,brewpub,32
United States,Maine,brewpub,31
United States,Oklahoma,micro,30
United States,New Mexico,micro,30
United States,Alaska,micro,29
United States,North Carolina,planning,29
United States,California,regional,29
United States,South Carolina,brewpub,29
Singapore,Singapore,bar,28
United States,California,contract,27
United States,Louisiana,micro,27
United States,Maryland,brewpub,26
United States,Tennessee,brewpub,26
United States,Ohio,planning,26
United States,Georgia,brewpub,25
United States,Wyoming,micro,24
United States,South Dakota,micro,24
United States,Idaho,brewpub,23
United States,Illinois,planning,23
United States,Nevada,micro,22
United States,New York,contract,22
United States,Arkansas,micro,22
United States,New Hampshire,brewpub,22
England,East Sussex,micro,21
United States,Utah,micro,21
United States,West Virginia,micro,21
United States,Michigan,planning,21
United States,Nebraska,brewpub,21
United States,Rhode Island,micro,20
United States,Indiana,planning,20
United States,Tennessee,planning,20
Poland,dolnośląskie,micro,20
United States,Nevada,brewpub,20
United States,Kansas,brewpub,20
England,West Sussex,micro,19
United States,Georgia,planning,19
United States,Maryland,planning,18
United States,Arkansas,brewpub,18
United States,Kansas,micro,18
United States,Montana,brewpub,17
United States,Connecticut,planning,17
United States,Vermont,brewpub,16
United States,Wyoming,brewpub,16
United States,New Jersey,brewpub,16
United States,Massachusetts,planning,16
United States,California,large,15
United States,South Dakota,brewpub,15
United States,Utah,brewpub,15
United States,Wisconsin,contract,14
South Korea,Seoul,brewpub,14
United States,Alaska,brewpub,14
United States,Delaware,brewpub,14
United States,New Jersey,planning,14
United States,Pennsylvania,regional,13
United States,Missouri,closed,13
United States,Mississippi,micro,13
United States,West Virginia,brewpub,13
United States,Minnesota,planning,13
United States,Arizona,planning,13
United States,California,proprietor,13
United States,North Carolina,regional,13
United States,Oregon,regional,13
United States,Connecticut,closed,12
United States,Hawaii,brewpub,12
United States,Kentucky,brewpub,12
United States,North Dakota,micro,12
United States,Oregon,planning,12
United States,Massachusetts,regional,12
United States,Colorado,regional,11
United States,Illinois,contract,11
Poland,dolnośląskie,brewpub,11
United States,Oregon,closed,11
United States,Montana,planning,10
United States,Texas,regional,10
United States,New York,proprietor,10
United States,Wisconsin,closed,10
Ireland,Dublin,micro,10
United States,Connecticut,brewpub,10
United States,Delaware,micro,10
United States,Colorado,closed,9
United States,Michigan,regional,9
United States,Rhode Island,brewpub,9
United States,Wisconsin,regional,9
United States,Wisconsin,planning,9
United States,Ohio,regional,9
United States,Colorado,contract,9
United States,New York,regional,9
