[2025-04-08T10:18:28.715+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T10:18:28.765+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:18:20.334097+00:00 [queued]>
[2025-04-08T10:18:28.783+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:18:20.334097+00:00 [queued]>
[2025-04-08T10:18:28.785+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T10:18:28.817+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-08 10:18:20.334097+00:00
[2025-04-08T10:18:28.830+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=343) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T10:18:28.831+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'manual__2025-04-08T10:18:20.334097+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmphyudbt36']
[2025-04-08T10:18:28.834+0000] {standard_task_runner.py:63} INFO - Started process 345 to run task
[2025-04-08T10:18:28.834+0000] {standard_task_runner.py:91} INFO - Job 11: Subtask camada_bronze
[2025-04-08T10:18:28.930+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze manual__2025-04-08T10:18:20.334097+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T10:18:29.285+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-08T10:18:20.334097+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-08T10:18:20.334097+00:00'
[2025-04-08T10:18:29.319+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T10:18:29.333+0000] {bronze.py:42} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T10:18:29.334+0000] {bronze.py:27} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T10:18:30.604+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T10:18:31.111+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
[2025-04-08T10:18:31.571+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T10:18:32.388+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T10:18:32.881+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T10:18:33.303+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T10:18:33.742+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T10:18:34.153+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T10:18:34.635+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T10:18:35.046+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T10:18:35.550+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T10:18:35.973+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T10:18:36.465+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T10:18:36.916+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
