[2025-04-08T08:02:57.620+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-04-08T08:02:57.719+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze scheduled__2025-04-07T00:00:00+00:00 [queued]>
[2025-04-08T08:02:57.736+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: pipeline_cervejarias_dag.camada_bronze scheduled__2025-04-07T00:00:00+00:00 [queued]>
[2025-04-08T08:02:57.738+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 4
[2025-04-08T08:02:57.781+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): camada_bronze> on 2025-04-07 00:00:00+00:00
[2025-04-08T08:02:57.806+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=178) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-04-08T08:02:57.809+0000] {standard_task_runner.py:63} INFO - Started process 180 to run task
[2025-04-08T08:02:57.810+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'pipeline_cervejarias_dag', 'camada_bronze', 'scheduled__2025-04-07T00:00:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/pipeline_cervejarias_dag.py', '--cfg-path', '/tmp/tmpjerwzlxu']
[2025-04-08T08:02:57.812+0000] {standard_task_runner.py:91} INFO - Job 3: Subtask camada_bronze
[2025-04-08T08:02:58.015+0000] {task_command.py:426} INFO - Running <TaskInstance: pipeline_cervejarias_dag.camada_bronze scheduled__2025-04-07T00:00:00+00:00 [running]> on host b92eb4eb8cda
[2025-04-08T08:02:58.334+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='pipeline_cervejarias_dag' AIRFLOW_CTX_TASK_ID='camada_bronze' AIRFLOW_CTX_EXECUTION_DATE='2025-04-07T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-07T00:00:00+00:00'
[2025-04-08T08:02:58.338+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-04-08T08:02:58.339+0000] {bronze.py:42} INFO - Iniciando extração paralela da API Open Brewery DB...
[2025-04-08T08:02:58.341+0000] {bronze.py:27} INFO - Descobrindo total de páginas disponíveis...
[2025-04-08T08:03:06.065+0000] {bronze.py:20} INFO - Página 1 retornou 50 registros.
[2025-04-08T08:03:08.498+0000] {bronze.py:20} INFO - Página 2 retornou 50 registros.
[2025-04-08T08:03:11.344+0000] {bronze.py:20} INFO - Página 3 retornou 50 registros.
[2025-04-08T08:03:16.326+0000] {bronze.py:20} INFO - Página 4 retornou 50 registros.
[2025-04-08T08:03:17.446+0000] {bronze.py:20} INFO - Página 5 retornou 50 registros.
[2025-04-08T08:03:18.357+0000] {bronze.py:20} INFO - Página 6 retornou 50 registros.
[2025-04-08T08:03:19.324+0000] {bronze.py:20} INFO - Página 7 retornou 50 registros.
[2025-04-08T08:03:20.165+0000] {bronze.py:20} INFO - Página 8 retornou 50 registros.
[2025-04-08T08:03:21.303+0000] {bronze.py:20} INFO - Página 9 retornou 50 registros.
[2025-04-08T08:03:22.264+0000] {bronze.py:20} INFO - Página 10 retornou 50 registros.
[2025-04-08T08:03:23.158+0000] {bronze.py:20} INFO - Página 11 retornou 50 registros.
[2025-04-08T08:03:24.316+0000] {bronze.py:20} INFO - Página 12 retornou 50 registros.
[2025-04-08T08:03:25.539+0000] {bronze.py:20} INFO - Página 13 retornou 50 registros.
[2025-04-08T08:03:26.565+0000] {bronze.py:20} INFO - Página 14 retornou 50 registros.
[2025-04-08T08:03:27.445+0000] {bronze.py:20} INFO - Página 15 retornou 50 registros.
[2025-04-08T08:03:28.337+0000] {bronze.py:20} INFO - Página 16 retornou 50 registros.
[2025-04-08T08:03:29.150+0000] {bronze.py:20} INFO - Página 17 retornou 50 registros.
[2025-04-08T08:03:30.033+0000] {bronze.py:20} INFO - Página 18 retornou 50 registros.
[2025-04-08T08:03:31.030+0000] {bronze.py:20} INFO - Página 19 retornou 50 registros.
[2025-04-08T08:03:31.940+0000] {bronze.py:20} INFO - Página 20 retornou 50 registros.
[2025-04-08T08:03:33.195+0000] {bronze.py:20} INFO - Página 21 retornou 50 registros.
[2025-04-08T08:03:34.813+0000] {bronze.py:20} INFO - Página 22 retornou 50 registros.
[2025-04-08T08:03:35.624+0000] {bronze.py:20} INFO - Página 23 retornou 50 registros.
[2025-04-08T08:03:36.637+0000] {bronze.py:20} INFO - Página 24 retornou 50 registros.
[2025-04-08T08:03:37.432+0000] {bronze.py:20} INFO - Página 25 retornou 50 registros.
[2025-04-08T08:03:38.304+0000] {bronze.py:20} INFO - Página 26 retornou 50 registros.
